CO Description,PO/PSO Description,Score (0-3)
Find an optimum solution of problem defined by using latest Technologies.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and direction rule and go for these to unmatchable ’ s own work, as a member and leader in a squad, to manage projects and in multidisciplinary environments.",1
Examine problems of limited complexity in buckling and dynamic analysis.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Define the needs of the customer while designing a new product or modifying existing product in the competitive environment.,"Soul and squad work: Function in effect as an individual, and as a member or leader in diverse teams, and in multidisciplinary setting.",0
Evaluate stiffness of dissimilar materials using dissimilar scales,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Become conversant with appropriate use of CAD software for drafting and able to draw conic sections.,"Communicating: Communicate effectively on complex technology activities with the engine room community and with the society at gravid, such as, being able bodied to comprehend and write effective reports and design documentation, make effective presentations, and give and receive unmortgaged instructions.",3
Summarize the literature review for the identified problem.,"Conduct investigations of complex job: Use research - based cognition and including design of experiments, analytic thinking and version of data, and synthetic thinking of the data to provide valid ratiocination.",1
Compile the contentedness and prepare comprehensive theme.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
"Describe tool geometry, select tool material for machining of various materials and identify the types of chips. Calculate cutting forces, MRR, power consumption under different cutting conditions.","Job analytic thinking: Identify, formulate, research literature, and analyze complex engineering problem reach substantiate conclusions using maiden principles of mathematics, natural scientific discipline, and engineering sciences.",2
Identify the basic tools and requirements of different maintenance procedures.,"Behavior investigations of complex problems: Use research - base noesis and including conception of experiments, depth psychology and interpretation of data, and deductive reasoning of the information to provide valid conclusions.",2
Calculate the solution of initiatory order one dimensional differential equations.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
"Estimate the effectiveness of heat exchanger by LMTD, NTU methods and acquire knowledge of boiling and condensation phenomenon.","Modern tool usage: Create, select, and practice appropriate techniques, resources, and modern engineering and information technology tool, including prediction and model to complex technology activity, with an savvy of the restriction.",1
Categorize the waste found on the physical and chemic belongings.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Determine the extreme values of functions of two variables.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",3
Plan to complete the work as a squad with passion and focal point.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",2
"Achieve improved ability to listen, understand, analyse, and respond to English spoken in various settings.","Project management and finance: Demonstrate cognition and intellect of the engineering and management principle and apply these to unitary ’ siemens ain work, as a member and leader in a squad, to manage projects and in multidisciplinary environments.",1
Distinguish the basic instrument and requirements of dissimilar maintenance procedure.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,2
Analyze and discuss the results to draw valid closing.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
"Acquire the knowledge of electrical wires, cables, earth, Electrical condom precautions to be followed in electric installation and electric shock and information technology base hit and energy calculations.","Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Become conversant with appropriate use of computer aided design package for drafting and capable to get out conic sections.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",3
Make use of Apply constraints to assemble the components using CAD software,"The engineer and society: Apply reason out informed by the contextual cognition to value societal, wellness, rubber, effectual, and ethnic issues and the consequent responsibilities relevant to the professional applied science practice.",3
"Apply periodical and preventive upkeep techniques as required for industrial equipments like motors, pumps and airwave compressor and machine tools etc.","Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Analyze searching/sorting techniques to solve problems that involve finding and manipulating data.,"Design / evolution of solutions: Innovation solutions for complex engineering problem and design system components or processes that meet the stipulate need with appropriate consideration for public health and base hit, and cultural, social, and environmental considerations.",2
Posterior Cloud services applications and the challenge affiliate with Cloud Computer science.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",1
Demonstrate the knowledge of mathematical representation of various curves and surfaces and understand the concepts of solid modelling techniques.,"Project direction and finance: Demonstrate noesis and understanding of the engineering science and management principles and apply these to one ’ s ain work, as a phallus and leader in a team, to manage projects and in multidisciplinary environments.",1
"Acquire knowledge in the functionality, performance and testing of hydraulic turbines","Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
"Understand the concepts of normal, abnormal combustion and the functioning of engine systems like cooling, lubrication and ignition.","The engineer and society: Apply reasoning inform by the contextual cognition to assess societal, wellness, safe, legal, and ethnic issues and the consequent responsibilities relevant to the professional engineering science pattern.",1
Find an optimal root of problem defined by using latest Technologies.,Apply their learning to design and develop basic mechanical systems and processes.,2
"Understand the application of reckoner in innovation, manufacturing, and geometric transformation techniques","Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",1
Analyze mode form and decoupling of equation of motion for 2 degree of freedom systems.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",1
"Estimate the heat transfer in case flow over plates, cylinders and flow through tubes.","Engineering noesis: Apply the knowledge of mathematics, skill, engineering first harmonic, and an technology specialization for the solvent of complex engineering problems.",2
Imbibe the unlike type of fasteners.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Solve the given transportation problem.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Demonstrate the knowledge of various Additive Manufacturing Processes.,"Engineering cognition: Apply the noesis of mathematics, skill, engineering science fundamentals, and an engineering specialization for the result of complex engineering job.",3
Write the CNC part programme for simple components.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Identify the inference rules for functional dependencies and apply the principles of normal forms to decompose the relations in a database.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Analyze the concepts of cloud storage and demo their economic consumption.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
"Figure the effectiveness of heating plant exchanger by LMTD, NTU methods and acquire noesis of boiling and condensation phenomenon.","Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",2
Evaluate Capital and Uppercase Budgeting conclusion establish on any proficiency.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Make use of lasers and optical fibers in engineering applications,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Analyze and debug the computer program to avow and formalize code.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Outline the deductive reasoning of various Engineering material & Drugs.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Design the spur and helical gears based on beam strength and wear strength.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",2
"Beryllium self asserting and set short term and long terminal figure destination, learn to manage time effectively and deal with accent.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Know the contribution of scientists of different era.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
Understand bitcoin and its limitations,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Describe the decentralisation and cryptographic primitive.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Understand Locomotive engineer ’ s responsibilities and morality.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",3
Solve the give transit problem.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Identify the canonic cock and requirements of dissimilar maintenance procedures.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Comparability various inventory ascendancy techniques used in product system.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Underlines the importance of grain sizing in evaluating the desired mechanical dimension.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
Calculate the solutions of first order linear differential equations.,"Problem analytic thinking: Identify, formulate, research lit, and analyze complex engineering job reaching substantiate conclusions expend first principles of mathematics, natural sciences, and applied science skill.",3
Select the solar collector based on the application.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Solve simple problems such as riser pipeline design and weather sheet alloy calculations,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",0
Understand the work principles of lead power plant.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Understand the fundamentals of Internet of things and cloud cipher appertain the 4th industrial revolution.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",2
Solve the given transportation problem.,"Advanced tool exercise: Create, select, and enforce appropriate techniques, resources, and modern applied science and IT tool, let in prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
Determine accent and strains in members subjected to axial encumbrance and temperature changes.,Apply their learning to design and develop basic mechanical systems and processes.,2
"Estimate the heat transfer in case flow over plates, cylinders and flow through tubes.",Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
"Evaluate measuring methods and devices for displacement, pressure & temperature.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Comprehend the circuit analysis techniques using various circuital laws and theorems.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Evaluate hardness of different materials employ unlike scale of measurement,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
"Identify and choose HTML tags, CSS and java scripts to develop well-structured and easily maintained web pages.",Enforce their learning to design and develop canonic mechanical system and processes.,1
"Apply the Second law of thermodynamics to analyze heat pumps, refrigerators, heat engines and to evaluate entropy changes.",Apply their learning to design and develop basic mechanical systems and processes.,3
Reckon the heating transfer coefficient in boiling and condensation heat transfer.,Apply their learning to design and develop basic mechanical systems and processes.,1
"Apply periodic and preventive maintenance techniques as required for industrial equipments like motors, pumps and air compressors and machine tools etc.","Behavior investigations of complex problem: Use research - base knowledge and including design of experiment, analysis and interpretation of information, and synthesis of the information to bring home the bacon valid conclusions.",2
Identify different handling equipment used in steam plant.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Understand various coal combustion methods.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Analyze and discourse the results to draw valid conclusions.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Apply hashing.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Grow the science and expertise in theme writing.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,3
Identify issues in Decision Tree Learning.,"Environment and sustainability: Sympathise the impact of the professional applied science solution in societal and environmental contexts, and establish the noesis of, and need for sustainable development.",1
Apply technical knowledge to real world industrial/rural situations,Apply their encyclopaedism to project and develop basic mechanical systems and physical process.,3
Understand the basic constituent and specification of the Golem,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Determine the various efficiencies related to Steam Turbines.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Generate modern ideas for societal benefit and Country building.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",2
"Acquire the knowledge of electrical wires, cables, earthing, Electrical safety precautions to be followed in electrical installations and galvanizing shock and its safety and vigour computing.","Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Recite the account and foundations of Artificial Intelligence.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Analyze searching/sorting techniques to solve problems that involve finding and manipulating data.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Understand the designing procedure of helical and leaf springs under inactive and fluctuating loads.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Identify principal parts of an automobile and its layout.,"Somebody and team work: Function effectively as an soul, and as a member or drawing card in diverse squad, and in multidisciplinary scene.",1
Explicate the fundamental concepts and rule of blockchain technology.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Enumerate the Perspectives and Issues in Machine Learning.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
Survey and study of published literature on the assigned topic.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
"Discuss the properties and processes using thermodynamic functions, electrochemical cells and their role in batteries and fuel cells.","Communicating: Communicate in effect on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, progress to effective presentations, and return and receive clear instructions.",0
"Apply sorting proficiency, search technique and hashing.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Utilise the opportunities provided by Rural Development Programmes.,"Design / development of solution: Design solutions for complex engineering problems and invention system components or processes that meet the specified need with appropriate consideration for public wellness and safety device, and ethnical, societal, and environmental considerations.",2
Apply dissimilar techniques to reduce and prevent Article of clothing and corrosion in Industry.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Read the different type of fuel cubicle,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
"Class the mechanism of tool wear, estimation putz life using Taylor ’ s equation nether various cutting conditions and the diligence of cutting fluid.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Describe the finishing and super finishing surgery and the model necessitate.,Apply their learning to design and develop basic mechanical systems and processes.,2
Find an optimum solution of problem defined by using latest Technologies.,"Practice the concepts of mechanically skillful applied science in force generation, aerospace, environmental, bio - medical, automotive, sustainable free energy systems and with worthy safety precaution.",2
Demonstrate the knowledge of angular measurements and use measuring instruments as per requirements.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",1
"Review literature to place the gaps, delineate the objectives and scope of the oeuvre.","Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",3
Apply SQL to find solutions to introductory interrogation.,Apply their learning to design and develop basic mechanical systems and processes.,1
"Apply the constructs like excerption, repetition and function to modularize the platform.","Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
"Estimate the effectiveness of heat exchanger by LMTD, NTU methods and acquire knowledge of boiling and condensation phenomenon.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
"Apply periodic and preventive maintenance proficiency as required for industrial equipments like motor, pumps and gentle wind compressors and auto instrument etc.","Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Calculate the solutions of first society linear differential equivalence.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
"Make a given model by using workshop trades like carpentry, plumbing, House wiring and 3d modeling using solid works software for Additive Manufacturing.","Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Demonstrate the motion of electrons in electric and magnetic fields,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",1
Evaluate solutions to practical problems by finite element analysis software.,"Conduct investigations of complex problems: Use inquiry - based knowledge and including pattern of experiments, analytic thinking and interpretation of information, and synthesis of the information to provide valid closing.",3
Understand the cardinal construct of Additive manufacture,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
Understand fundamentals of supplying sir ernst boris chain and its key concepts.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Evaluate the properties of pure substances and analyze the performance of steam power cycles.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Understand the rule of geothermal and biogas plants.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Resolve higher order one dimensional differential equations.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",2
Understand the basics of Internet of things and cloud computing pertaining the fourth industrial revolution.,Select manufacturing processes and their appropriate parameters for the output of typical engineering components.,3
Make use of Apply constraints to assemble the components using CAD software,Apply their learnedness to design and produce basic mechanical systems and processes.,3
Drill the conception of OOPs.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
"Identify assorted shaft use in carpentry, house wiring and plumbing system.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
Use the basic probability for fitting the Random phenomenon.,"Surround and sustainability: Sympathize the wallop of the professional engineering solutions in societal and environmental contexts, and demonstrate the cognition of, and need for sustainable development.",0
Calculate the heat transfer coefficient of heat exchanger for versatile constellation.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",1
Determine the various properties of fluids,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
"Acquire knowledge in the functionality, performance and testing of hydraulic turbine","Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",0
"Prove the utilization of detector (Ultrasonic, IR, Traffic circle Encoder) for Arduino interfacing, interpret data, and integrating them seamlessly into robotics applications.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
"Find solution of algebraic, otherworldly and ODE by Numerical Method.",Apply their learning to design and develop basic mechanical systems and processes.,2
"Estimate the effectiveness of heat exchanger by LMTD, NTU methods and acquire knowledge of boiling and compression phenomenon.","Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",2
Calculate the heat transfer coefficient in boiling and condensation heat transfer.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",1
Create an isometrical projections and sentiment.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
Value the static and dynamic reconciliation masses in a spread out mass system.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Correlate the heat handling method and the mechanical properties obtained.,Apply their learning to design and develop basic mechanical systems and processes.,3
Understand real world trouble and Create algorithms / flowcharts / decisiveness tabular array for solving those problems.,Apply their learning to design and develop basic mechanical systems and processes.,2
Understand the variation of property with orientation and failure possibility of UD lamina.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Analyse simple trusses for forces in diverse member of a truss.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
"Review literature to identify the gaps, define the objectives and scope of the work.","Individual and team workplace: Function effectively as an person, and as a member operating room leader in diverse teams, and in multidisciplinary settings.",3
"Find solution of algebraic, transcendental and ODE by Numerical Methods.",Apply their learning to design and arise introductory mechanically skillful systems and mental process.,2
Choose the appropriate representation of Knowledge.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Correlate the heat treatment method and the mechanically skillful property receive.,Apply their learning to design and develop basic mechanical systems and processes.,3
"Understand the Vapour absorption, steam-jet and non-conventional refrigeration systems.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management rule and lend oneself these to one ’ s own workplace, as a member and loss leader in a team, to manage projects and in multidisciplinary surround.",0
Explain the Hazardous Waste Management and Treatment process.,"Environment and sustainability: Realize the encroachment of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable exploitation.",0
Test the bead geometry and correlate the results to the input parameters.,"Life - long learning: Recognize the need for, and have the preparation and ability to engage in independent and life sentence - long acquisition in the broad context of technical alteration.",0
Apply project management techniques like PERT and CPM for effective planning and execution of projects.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",0
"Understand and Evaluate Principles involved in functioning of pivots, collars, clutches, belts, brakes and dynamometers.",Ethics: Apply honorable rule and commit to professional ethics and responsibilities and norms of the engineering science practice.,0
Define various terms related to manufacturing processes,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Understand the torah related to fluid stream and their applications,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",0
Identify the basic chemical method to analyse the substance quantitatively & qualitatively.,Apply their learning to design and develop basic mechanical systems and processes.,1
"Understand the need, truth and associated concept of linear and angular measuring.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
"Acquire the knowledge of electrical wires, cables, earthing, Electrical safety precautions to be followed in electrical installations and electric shock and its safety and energy calculations.","Life - foresightful learnedness: Acknowledge the need for, and have the preparation and power to lease in independent and biography - recollective learning in the broadest setting of technical change.",3
Evaluate the properties of pure substances and analyze the performance of steam power cycles.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Understand the basics of Internet of things and cloud computing pertaining the fourth industrial revolution.,"Individual and squad oeuvre: Function efficaciously as an individual, and as a member operating room drawing card in diverse teams, and in multidisciplinary mise en scene.",2
Conducting preliminary Depth psychology / Modeling / Feigning / Experiment / Blueprint / Feasibleness.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Analyze methods of unconventional machining and identify suited method for a pay element and understand jigs & regular.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,3
Develop optimum pair of operations and resourcefulness by using Assigning technique.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Compile the content and gear up comprehensive report.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Describe the decentralisation and cryptologic primitive.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Outline the synthetic thinking of several Engineering science materials & Drugs.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Determine moments of inertia of plane and composite areas.,"Mortal and team work: Function effectively as an individual, and as a member operating room loss leader in diverse teams, and in multidisciplinary setting.",0
Identify master parts of an motorcar and it layout.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Draw and analyze the internal details of solids through sectional views.,"Soul and team work: Part effectively as an somebody, and as a extremity or loss leader in diverse teams, and in multidisciplinary setting.",2
Analyze preprocessing and identify different post processing technique in AM,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Contribute for the conservation of bio-diversity.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Preparing a Written Report on the Bailiwick conducted for Presentation to the Section.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
Evaluate the organisational implications of cyber security measures by assessing the costs associate with cybercrime,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Bet the tightness and amount of versatile substances using instrumental techniques.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Understand FE method for solving field problems using energy formulations.,"Engineering cognition: Apply the knowledge of maths, scientific discipline, applied science fundamentals, and an technology specialization for the solution of complex applied science problems.",3
Demonstrate the excogitation rules for product development done Additive Manufacturing.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",3
Calculate the solutions of first order linear differential equations.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
