Course Identifier,CO Identifier,CO Description,PO/PSO Identifier,PO/PSO Description,Score (0-3)
IT42123,CO2,Implement and deploy current technology movement for wireless sensing element networks.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
IT40138,CO4,Use swarm Intelligence for solving optimization problems in societal application.,PSO3,The ability to gain noesis in diverse areas of computer science and apply for successful career entrepreneurship and high study.,1
CSE23304,CO4,Implement linear and non - linear data construction.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23320,CO3,IoT network and connectivity.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CS42175,CO3,Exemplifying and Summarizing the functionality and services of android for mobile application development.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CS42177,CO4,Characterize the different components of unsupervised deep neural network models’ computation.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Major Project,CO2,"Evolve a structured roadmap for fulfil the task applying rudimentary engineering principles, insure that information technology aligns seamlessly with the predetermined timeline.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23306,CO1,Understand the fundamental elements of relational database direction systems and its Application,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CS23317,CO5,Explore different recent machine techniques.,PO6,"The engineer and gild: Apply reason out inform by the contextual knowledge to assess societal, health, rubber, legal, and ethnical issues and the consequent responsibilities relevant to the professional engineering exercise.",2
CSE23312,CO5,Analyze file and directory structure direction along with I / O direction issue. Pack out case studies in different contemporaneous operating system.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23312,CO5,Analyze single file and directory structure management along with Iodin / O management issuance. Carry out case work in unlike contemporary operating arrangement.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
CS30144,CO5,"Analyze the organization and operation of current genesis parallel computer systems, include multiprocessor and cluster information processing system.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23312,CO1,"Compare and contrast different types of operating system and analyze the fundamentals of operating system concepts, services, and components.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
CSE23306,CO3,Analyze operational dependencies and normalize the database outline,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CS30144,CO1,Analyze the basic principles of a computer design and the various performance measures.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
IT42123,CO3,Evaluate the components and operation of a memory hierarchy and the performance issues influencing its design.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
CSE21303,CO4,"Analyze and design Coffee computer program using advanced feature such as AWT, Applet, Swing, and Socket.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23450,CO3,To identify the need for Data Center Virtualization.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the intricacies of professional work, fostering collaboration, ethical conduct, and effective knowledge dissemination.",PO12,"Liveliness - farseeing encyclopedism: Recognize the motivation for, and make the readying and power to lease in independent and life - long learning in the broadest context of technical alteration.",3
CSE23450,CO4,"Able to analyze assay mark, confidentiality and privacy egress in Cloud computing environment.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CI20303,CO4,Develop real world web applications and deploy on commercial cloud.,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23306,CO2,"Use ER diagram for database design and write database queries using relational algebra, relational calculus and SQL",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23304,CO5,Apply efficient data structures to solve specific problem.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CI20303,CO1,"Understand AWS core services, security, architecture, pricing, and support.",PO2,"Trouble analysis: Identify, formulate, enquiry literature, and analyze complex technology problems get hold of substantiated close using first principles of mathematics, natural skill, and engineering science science.",1
CI20303,CO3,Build a private cloud using open source technologies.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Major Project,CO5,"Demonstrate deftness and empower multifaceted skill lot to navigate the intricacies of professional work, fostering collaboration, ethical deportment, and effective cognition dissemination.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",1
CSE23304,CO1,Understand the fundamental concepts of versatile datum structures and their employment.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE21308,CO4,Study the design of ALU for arithmetic operations and use of registers.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
Major Project,CO2,"Develop a integrated roadmap for executing the project enforce fundamental engineering rationale, ensuring that it aligns seamlessly with the preset timeline.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
CSE23307,CO3,Implement different graph algorithms and analyze their time complexity.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
Major Project,CO4,"Provide engineering solution by conceptualizing and craft system components or processes while vigilantly weighing the implications for public wellness, safety, oecumenical comfortably - being, and ethnic, social, and economical aspects.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
CSE21303,CO1,Understand basic construct of OOPs and syntax of Carbon + +.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CS23317,CO3,Learn and implement unsupervised machine learning mannequin and their application.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PSO3,The power to gain knowledge in diverse orbit of computer science and apply for successful career entrepreneurship and high study.,1
CSE23307,CO1,Compute sentence complexity using asymptotic notations by appropriate numerical tools.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CS30144,CO4,"Understand the respective technique to raise a processor ' s power to exploit Instruction - level correspondence (ILP ), and its challenges.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
CS30144,CO5,"Analyze the organization and surgery of current generation parallel computer systems, including multiprocessor and cluster figurer.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
Major Project,CO1,"Do a comprehensive ground psychoanalysis focusing on specific expert facets. After, craft a clear and considerably - defined project objective that aligns with the perceptivity bring in from this thorough investigation.",PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the intricacy of professional work, nurture quislingism, honorable conduct, and efficient knowledge diffusion.",PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
Major Project,CO3,"Leverage advanced technical expertise, tackle modern engineering prick to carry come out experiments and hire in a rigorous data point analysis mental process.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CSE23307,CO1,Compute time complexness using asymptotic notations by appropriate mathematical tool.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23307,CO4,"Learn backtracking, branch edge and string match problems by dissect their time complexity.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO12,"Aliveness - foresightful learning: Recognize the need for, and have the preparation and power to hire in sovereign and living - long learning in the broadest circumstance of technological variety.",2
Major Project,CO2,"Develop a integrated roadmap for executing the labor utilize fundamental engineering principles, see that information technology align seamlessly with the predetermined timeline.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
CS40141,CO5,Analyze the various techniques and tools used for testing and debugging.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
CSE23450,CO1,To understand the concepts of Networking and Cloud Computing.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE21303,CO1,Understand canonic concepts of OOPs and syntax of C + +.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CSE23450,CO2,To fix an information technology Infrastructure and describe information technology components.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Major Project,CO4,"Provide engineering solutions by conceptualizing and crafting system components or processes while vigilantly weighing the implications for public health, safety, general well-being, and cultural, social, and economic aspects.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23450,CO5,Explore resource management in cloud and overview of big data cipher environment.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
CS42175,CO4,Implementing and Execution promote application ontogenesis.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
CSE23305,CO3,Analyze the working principles and protocols of data link up level.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23304,CO3,Analyze and implement various search and sorting techniques,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23305,CO1,Understand different type of model use for Data communicating in a computer network,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CS30144,CO5,"Analyze the organization and operation of current coevals parallel data processor system of rules, including multiprocessor and bunch computer.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Major Project,CO2,"Explicate a integrated roadmap for executing the project apply fundamental engineering precept, check that it aligns seamlessly with the predetermined timeline.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CS40141,CO2,Learn the excerption subprogram of central processor in the embedded domain.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
IT42123,CO2,Implement and deploy current applied science trends for wireless sensor networks.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Major Project,CO4,"Provide engine room solutions by conceptualizing and craft system components or processes while vigilantly press the conditional relation for public health, safety, general well - being, and ethnical, societal, and economical vista.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CSE23320,CO4,IoT and Industry Application Communications protocol and use of Database.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CI40136,CO5,Differentiate different architecture drift.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE21303,CO4,"Analyze and design Java programs using advanced features such as AWT, Applet, Swing, and Socket.",PO5,"Modern tool custom: Create, select, and apply appropriate technique, resources, and modern engineering and information technology tool, include prediction and model to complex engineering activities, with an understanding of the limitation.",3
CS42175,CO3,Exemplifying and Summarizing the functionality and services of android for mobile application development.,PO2,"Problem analysis: Identify, formulate, research lit, and analyze complex technology problems reaching embody finis expend first principles of mathematics, natural sciences, and engine room sciences.",3
CSE23307,CO2,Understand different algorithmic rule design techniques and apply of import algorithmic purpose substitution class.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PSO4,Ability to use knowledge of ethical and management principles ask to shape in a team as well as to top a squad.,1
CSE23312,CO1,"Compare and contrast dissimilar types of operating organisation and analyze the fundamentals of operating system conception, services, and part.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
CI20303,CO4,Develop real world web applications and deploy on commercial cloud.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Major Project,CO2,"Develop a integrated roadmap for executing the project enforce cardinal engineering principles, ensuring that information technology line up seamlessly with the preset timeline.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE21303,CO5,Design and implementation of different design patterns using Java.,PO4,"Conduct investigations of complex problems: Use research - establish knowledge and include designing of experiments, analysis and interpretation of information, and synthesis of the information to provide valid close.",3
CSE23305,CO5,Identify and implement different types of application in application layer.,PO12,"Lifespan - long eruditeness: Recognize the want for, and have the preparation and ability to hire in independent and life - long learning in the broadest setting of technological change.",2
CI40136,CO1,"Use suitable process model for software development, and carry out requirement engineering process.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CS40141,CO1,Understand the basic and importance of embedded organisation.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
CSE23450,CO3,To identify the pauperization for Data Shopping center Virtualization.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CS42175,CO2,Differentiating the mobile communication and information technology direction by technique and methods.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
Major Project,CO3,"Leverage advanced technical expertise, harnessing modern engineering tools to carry out experiments and engage in a rigorous data analysis process.",PO7,"Environment and sustainability: Understand the encroachment of the professional engineering solutions in societal and environmental setting, and manifest the cognition of, and need for sustainable growth.",2
IT42123,CO1,Identify the unique issues in sensor networks.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23305,CO2,Analyze the process of information transformation while travel through various layer of a computer meshing,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23304,CO4,Implement linear and non-linear data structures.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO12,"Spirit - foresightful learning: Know the indigence for, and have the prep and ability to absorb in autonomous and life - long learning in the broadest context of technological modification.",2
CSE23312,CO5,Analyze file and directory structure management along with I / O management issues. Carry out instance study in dissimilar contemporary operating system.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE21303,CO1,Understand basic concepts of OOPs and syntax of C + +.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23306,CO5,Apply recovery strategy for minutes and utilize database storage and access strategies,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
Major Project,CO2,"Grow a integrated roadmap for executing the undertaking applying fundamental engineering principles, ensuring that information technology ordinate seamlessly with the predetermined timeline.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
Major Project,CO5,"Demonstrate adroitness and empower multifaceted skill sets to voyage the intricacies of professional work, nurture collaboration, honorable conduct, and effective knowledge dissemination.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
IT42123,CO4,"Analyze the challenges in designing MAC, routing and transport protocols for wireless sensor networks.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23306,CO5,Apply recovery scheme for transactions and utilize database storage and access strategies,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CS42177,CO2,Develop skills of using recent convolutional neural network architectures for solving practical problems.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CS40141,CO1,Understand the basics and importance of embedded systems.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CS42175,CO1,Interpreting the fundamental technology of roving technology and it sweetening.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
IT40138,CO4,Use horde Word for solving optimization problem in social application.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23306,CO5,Apply recovery strategies for transactions and utilize database storage and access strategies,PO6,"The applied scientist and society: Apply reason inform by the contextual knowledge to assess societal, wellness, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
CS23317,CO3,Learn and implement unsupervised machine learning models and their applications.,PO4,"Conduct investigations of complex problems: Use enquiry - base knowledge and including design of experimentation, analysis and interpreting of information, and deduction of the information to provide valid conclusions.",2
CSE21308,CO4,Study the excogitation of ALU for arithmetical operations and exercise of registers.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Major Project,CO1,"Do a comprehensive desktop analysis focusing on specific technical facet. Subsequently, craft a clear and substantially - defined project objective that line up with the insight gained from this exhaustive probe.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team every bit substantially as to lead a squad.,0
CI20303,CO2,Adapt unlike types of virtualization and increase resource utilization.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23304,CO2,"Solve problems using datum construction such as linear list, plenty, queues, trees, and graphs and write programs for these solutions.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Major Project,CO3,"Leverage advanced proficient expertise, harness advanced engineering tools to carry out experiments and enlist in a rigorous data point depth psychology process.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CSE23304,CO4,Implement linear and non - linear data structure.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23306,CO3,Analyze working dependencies and normalize the database scheme,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CSE23306,CO2,"Manipulation ER diagram for database design and write database inquiry using relational algebra, relational calculus and SQL",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
IT40138,CO4,Use drove Intelligence for solving optimization problem in societal coating.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
CSE23305,CO1,Understand different types of example used for Information communication in a computer mesh,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE21310,CO2,Transform regular expressions to robot and frailty - versa and spiritual rebirth from grammar to language and vice - versa.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
IT40138,CO2,Design Fuzzy system using the concepts of Fuzzy set theory.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
Major Project,CO2,"Develop a integrated roadmap for executing the project applying underlying technology principles, ensuring that information technology aligns seamlessly with the preset timeline.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
Major Project,CO3,"Leverage advanced technical expertness, harnessing modern applied science prick to carry out experiments and engage in a strict data analysis appendage.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",2
CSE23304,CO4,Implement linear and non - linear data structures.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE21308,CO2,"Analyze different memory in the pecking order, their chromosome mapping and their execution.",PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Major Project,CO2,"Educate a structured roadmap for executing the undertaking applying key engineering rationale, ensuring that it array seamlessly with the predetermined timeline.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
CSE23305,CO4,Evaluate the mechanisms to assure and preserve the wholeness and reliability of information during transmission in a computer network,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CI20303,CO3,Work up a secret cloud using open source applied science.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the intricacies of professional work, fostering collaboration, ethical conduct, and effective knowledge dissemination.",PO7,"Environs and sustainability: Understand the impact of the professional engineering solution in societal and environmental contexts, and demonstrate the noesis of, and need for sustainable exploitation.",1
CSE23316,CO2,Understand HDFS Architecture.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
Major Project,CO5,"Demonstrate deftness and empower multifaceted skill exercise set to navigate the elaboration of professional work, nurture collaboration, ethical demeanor, and effective knowledge dissemination.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CSE23316,CO5,Analyze Big Data in real life problem.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Major Project,CO4,"Provide technology solutions by conceptualizing and crafting organization element or processes while vigilantly weigh the deduction for public health, safe, general advantageously - being, and cultural, social, and economic aspects.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
CSE23316,CO1,Master the concepts of Big Data and Hadoop.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23304,CO1,Understand the fundamental concepts of various data structures and their usage.,PSO4,Ability to use noesis of ethical and management principle need to work in a team as well as to lead a squad.,1
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PSO3,The ability to gain cognition in diverse areas of data processor science and apply for successful career entrepreneurship and higher studies.,1
Major Project,CO1,"Perform a comprehensive background analysis focusing on specific technical facets. Subsequently, craft a clear and well-defined project objective that aligns with the insights gained from this thorough investigation.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",0
CS42177,CO4,Characterize the unlike constituent of unsupervised deep neural web models ’ computing.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CSE21303,CO5,Apply template and exceptional handling concept to develop C++ program.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CI20303,CO1,"Understand AWS sum services, surety, computer architecture, pricing, and support.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23306,CO5,Apply recovery strategies for transactions and utilize database storage and access strategies,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resource, and innovative engineering and IT tools, including prediction and modeling to complex technology activities, with an sympathy of the restriction.",2
CSE23316,CO3,Access and Process Data using MapReduce.,PSO1,"The ability to understand, analyze and develop electronic computer programs in the area of electronic computer science and to resolve reckoner software and computer hardware related engineering problems.",3
CSE23305,CO3,Analyze the working principle and protocol of data link layer.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23304,CO2,"Solve problems utilise data structures such as linear lean, stacks, queues, tree diagram, and graphical record and write programs for these solutions.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CS42175,CO4,Implementing and Executing advanced application developments.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
Major Project,CO2,"Originate a integrated roadmap for execute the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the preset timeline.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
